#model_version:v2023.03.01,score_date:2023-03-19T00:00:00+0000
cve,epss,percentile
CVE-2023-0001,0.00043,0.06927
CVE-2023-0002,0.00042,0.05636
CVE-2023-0003,0.00068,0.27648
CVE-2023-0012,0.00043,0.06927
CVE-2023-0013,0.00046,0.13906
CVE-2023-0014,0.00090,0.36723
CVE-2023-0015,0.00045,0.11838
CVE-2023-0016,0.00050,0.16929
CVE-2023-0017,0.00102,0.40320
CVE-2023-0018,0.00046,0.13906
CVE-2023-0019,0.00049,0.15258
CVE-2023-0020,0.00049,0.15258
CVE-2023-0021,0.00052,0.18409
CVE-2023-0022,0.00049,0.15338
CVE-2023-0023,0.00049,0.15258
CVE-2023-0024,0.00045,0.11838
CVE-2023-0025,0.00045,0.11838
CVE-2023-0027,0.00043,0.06927
CVE-2023-0028,0.00046,0.13906
CVE-2023-0029,0.00048,0.15093
CVE-2023-0030,0.00042,0.05636
CVE-2023-0033,0.00045,0.11838
CVE-2023-0034,0.00045,0.11838
CVE-2023-0035,0.00042,0.05636
CVE-2023-0036,0.00042,0.05636
CVE-2023-0037,0.00263,0.62223
CVE-2023-0038,0.00097,0.39162
CVE-2023-0039,0.00174,0.52834
CVE-2023-0040,0.00048,0.14807
CVE-2023-0042,0.00046,0.13906
CVE-2023-0043,0.00046,0.13906
CVE-2023-0044,0.00048,0.14551
CVE-2023-0046,0.00050,0.16929
CVE-2023-0048,0.00048,0.14945
CVE-2023-0049,0.00050,0.17361
CVE-2023-0050,0.00218,0.58034
CVE-2023-0051,0.00053,0.19362
CVE-2023-0052,0.00055,0.20811
CVE-2023-0053,0.00087,0.35313
CVE-2023-0054,0.00053,0.19362
CVE-2023-0055,0.00046,0.13906
CVE-2023-0057,0.00046,0.13906
CVE-2023-0059,0.00045,0.11838
CVE-2023-0060,0.00045,0.11838
CVE-2023-0061,0.00045,0.11838
CVE-2023-0062,0.00045,0.11838
CVE-2023-0063,0.00045,0.11838
CVE-2023-0064,0.00045,0.11838
CVE-2023-0065,0.00045,0.11838
CVE-2023-0066,0.00045,0.11838
CVE-2023-0067,0.00045,0.11838
CVE-2023-0068,0.00045,0.11838
CVE-2023-0069,0.00045,0.11838
CVE-2023-0070,0.00045,0.11838
CVE-2023-0071,0.00045,0.11838
CVE-2023-0072,0.00045,0.11838
CVE-2023-0073,0.00045,0.11838
CVE-2023-0074,0.00045,0.11838
CVE-2023-0075,0.00045,0.11838
CVE-2023-0076,0.00045,0.11838
CVE-2023-0077,0.00059,0.22813
CVE-2023-0078,0.00045,0.11838
CVE-2023-0080,0.00070,0.28589
CVE-2023-0081,0.00045,0.11838
CVE-2023-0082,0.00045,0.11838
CVE-2023-0083,0.00042,0.05636
CVE-2023-0084,0.00065,0.26540
CVE-2023-0085,0.00066,0.26699
CVE-2023-0086,0.00057,0.21743
CVE-2023-0087,0.00045,0.11838
CVE-2023-0088,0.00173,0.52702
CVE-2023-0089,0.00049,0.15338
CVE-2023-0090,0.00066,0.26739
CVE-2023-0091,0.00045,0.11838
CVE-2023-0093,0.00077,0.31110
CVE-2023-0095,0.00045,0.11838
CVE-2023-0096,0.00045,0.11838
CVE-2023-0097,0.00045,0.11838
CVE-2023-0098,0.00050,0.16929
CVE-2023-0099,0.00046,0.13906
CVE-2023-0100,0.00043,0.06927
CVE-2023-0101,0.00050,0.16929
CVE-2023-0102,0.00057,0.21771
CVE-2023-0103,0.00101,0.39991
CVE-2023-0104,0.00079,0.32290
CVE-2023-0105,0.00046,0.13906
CVE-2023-0106,0.00045,0.11838
CVE-2023-0107,0.00045,0.11838
CVE-2023-0108,0.00045,0.11838
CVE-2023-0110,0.00045,0.11838
CVE-2023-0111,0.00045,0.11838
CVE-2023-0112,0.00045,0.11838
CVE-2023-0113,0.00117,0.44044
CVE-2023-0114,0.00043,0.06927
CVE-2023-0115,0.00043,0.06927
CVE-2023-0122,0.00053,0.19051
CVE-2023-0123,0.00329,0.66328
CVE-2023-0124,0.00153,0.49837
CVE-2023-0125,0.00052,0.18329
CVE-2023-0126,0.00096,0.38726
CVE-2023-0127,0.00046,0.12772
CVE-2023-0128,0.00062,0.24052
CVE-2023-0129,0.00061,0.23959
CVE-2023-0130,0.00061,0.23995
CVE-2023-0131,0.00058,0.22475
CVE-2023-0132,0.00061,0.23995
CVE-2023-0133,0.00059,0.23005
CVE-2023-0134,0.00061,0.23959
CVE-2023-0135,0.00061,0.23959
CVE-2023-0136,0.00062,0.24592
CVE-2023-0137,0.00061,0.23959
CVE-2023-0138,0.00062,0.24592
CVE-2023-0139,0.00059,0.22827
CVE-2023-0140,0.00059,0.23005
CVE-2023-0141,0.00059,0.22810
CVE-2023-0143,0.00045,0.11838
CVE-2023-0144,0.00045,0.11838
CVE-2023-0146,0.00045,0.11838
CVE-2023-0147,0.00045,0.11838
CVE-2023-0148,0.00045,0.11838
CVE-2023-0149,0.00045,0.11838
CVE-2023-0150,0.00045,0.11838
CVE-2023-0151,0.00045,0.11838
CVE-2023-0153,0.00045,0.11838
CVE-2023-0154,0.00045,0.11838
CVE-2023-0158,0.00046,0.13906
CVE-2023-0159,0.00130,0.46172
CVE-2023-0162,0.00045,0.11838
CVE-2023-0164,0.00058,0.22452
CVE-2023-0165,0.00045,0.11838
CVE-2023-0166,0.00044,0.08333
CVE-2023-0168,0.00045,0.11838
CVE-2023-0169,0.00176,0.53073
CVE-2023-0170,0.00045,0.11838
CVE-2023-0171,0.00045,0.11838
CVE-2023-0172,0.00045,0.11838
CVE-2023-0173,0.00045,0.11838
CVE-2023-0174,0.00045,0.11838
CVE-2023-0176,0.00045,0.11838
CVE-2023-0177,0.00045,0.11838
CVE-2023-0178,0.00045,0.11838
CVE-2023-0193,0.00042,0.05636
CVE-2023-0196,0.00042,0.05636
CVE-2023-0212,0.00045,0.11838
CVE-2023-0214,0.00059,0.22869
CVE-2023-0215,0.00095,0.38648
CVE-2023-0216,0.00054,0.19697
CVE-2023-0217,0.00054,0.19697
CVE-2023-0219,0.00045,0.11838
CVE-2023-0220,0.00050,0.16929
CVE-2023-0221,0.00042,0.05636
CVE-2023-0223,0.00052,0.18091
CVE-2023-0227,0.00049,0.15258
CVE-2023-0228,0.00056,0.21322
CVE-2023-0229,0.00044,0.11053
CVE-2023-0230,0.00045,0.11838
CVE-2023-0231,0.00045,0.11838
CVE-2023-0232,0.00071,0.28754
CVE-2023-0234,0.00060,0.23063
CVE-2023-0236,0.00046,0.13906
CVE-2023-0240,0.00042,0.05636
CVE-2023-0242,0.00050,0.16929
CVE-2023-0243,0.00063,0.25249
CVE-2023-0244,0.00063,0.25249
CVE-2023-0245,0.00063,0.25249
CVE-2023-0246,0.00051,0.17664
CVE-2023-0247,0.00053,0.19362
CVE-2023-0249,0.00108,0.42042
CVE-2023-0250,0.00076,0.30630
CVE-2023-0251,0.00076,0.30542
CVE-2023-0252,0.00045,0.11838
CVE-2023-0253,0.00051,0.18021
CVE-2023-0254,0.00049,0.15258
CVE-2023-0255,0.00050,0.16929
CVE-2023-0256,0.00076,0.31056
CVE-2023-0257,0.00091,0.37428
CVE-2023-0258,0.00046,0.13906
CVE-2023-0259,0.00050,0.16929
CVE-2023-0260,0.00050,0.16929
CVE-2023-0261,0.00050,0.16929
CVE-2023-0262,0.00050,0.16929
CVE-2023-0263,0.00050,0.16929
CVE-2023-0266,0.00042,0.05636
CVE-2023-0270,0.00045,0.11838
CVE-2023-0271,0.00045,0.11838
CVE-2023-0275,0.00045,0.11838
CVE-2023-0278,0.00050,0.16929
CVE-2023-0279,0.00050,0.16929
CVE-2023-0281,0.00063,0.25249
CVE-2023-0282,0.00045,0.11838
CVE-2023-0283,0.00063,0.25249
CVE-2023-0284,0.00044,0.11053
CVE-2023-0285,0.00045,0.11838
CVE-2023-0286,0.00083,0.33537
CVE-2023-0287,0.00051,0.17664
CVE-2023-0288,0.00050,0.17361
CVE-2023-0289,0.00045,0.11838
CVE-2023-0290,0.00046,0.12842
CVE-2023-0293,0.00045,0.11838
CVE-2023-0294,0.00052,0.18409
CVE-2023-0295,0.00045,0.11838
CVE-2023-0296,0.00046,0.13906
CVE-2023-0297,0.02955,0.89293
CVE-2023-0298,0.00045,0.12375
CVE-2023-0299,0.00084,0.34255
CVE-2023-0300,0.00044,0.10225
CVE-2023-0301,0.00044,0.10225
CVE-2023-0302,0.00053,0.19362
CVE-2023-0303,0.00064,0.25845
CVE-2023-0304,0.00064,0.25845
CVE-2023-0305,0.00064,0.26088
CVE-2023-0306,0.00044,0.10225
CVE-2023-0307,0.00090,0.36723
CVE-2023-0308,0.00044,0.10225
CVE-2023-0309,0.00044,0.10225
CVE-2023-0310,0.00044,0.10225
CVE-2023-0311,0.00090,0.36723
CVE-2023-0312,0.00046,0.12624
CVE-2023-0313,0.00044,0.10225
CVE-2023-0314,0.00046,0.12624
CVE-2023-0315,0.00961,0.80930
CVE-2023-0316,0.00043,0.06927
CVE-2023-0321,0.00088,0.35884
CVE-2023-0322,0.00046,0.13906
CVE-2023-0323,0.00090,0.36841
CVE-2023-0324,0.00063,0.25249
CVE-2023-0327,0.00052,0.18329
CVE-2023-0328,0.00045,0.11838
CVE-2023-0330,0.00088,0.36128
CVE-2023-0331,0.00126,0.45536
CVE-2023-0332,0.00077,0.31329
CVE-2023-0333,0.00045,0.11838
CVE-2023-0334,0.00046,0.13906
CVE-2023-0337,0.00046,0.13906
CVE-2023-0338,0.00046,0.13906
CVE-2023-0339,0.00091,0.37652
CVE-2023-0341,0.00261,0.62066
CVE-2023-0345,0.00091,0.37428
CVE-2023-0346,0.00087,0.35313
CVE-2023-0347,0.00046,0.13906
CVE-2023-0348,0.00048,0.14807
CVE-2023-0349,0.00091,0.37428
CVE-2023-0350,0.00046,0.12720
CVE-2023-0351,0.00048,0.14437
CVE-2023-0352,0.00091,0.37428
CVE-2023-0353,0.00061,0.23959
CVE-2023-0354,0.00091,0.37428
CVE-2023-0355,0.00087,0.35313
CVE-2023-0356,0.00059,0.22781
CVE-2023-0358,0.00053,0.19362
CVE-2023-0360,0.00045,0.11838
CVE-2023-0361,0.00083,0.33519
CVE-2023-0362,0.00045,0.11838
CVE-2023-0366,0.00045,0.11838
CVE-2023-0371,0.00045,0.11838
CVE-2023-0372,0.00045,0.11838
CVE-2023-0373,0.00045,0.11838
CVE-2023-0375,0.00045,0.11838
CVE-2023-0377,0.00045,0.11838
CVE-2023-0378,0.00045,0.11838
CVE-2023-0379,0.00045,0.11838
CVE-2023-0380,0.00045,0.11838
CVE-2023-0381,0.00050,0.16929
CVE-2023-0385,0.00053,0.18967
CVE-2023-0394,0.00042,0.05636
CVE-2023-0396,0.00053,0.19362
CVE-2023-0397,0.00044,0.10504
CVE-2023-0398,0.00048,0.14807
CVE-2023-0400,0.00042,0.05636
CVE-2023-0401,0.00109,0.42297
CVE-2023-0402,0.00050,0.17064
CVE-2023-0403,0.00097,0.39162
CVE-2023-0404,0.00045,0.11838
CVE-2023-0405,0.00045,0.11838
CVE-2023-0406,0.00046,0.13906
CVE-2023-0410,0.00046,0.13906
CVE-2023-0411,0.00055,0.20817
CVE-2023-0412,0.00049,0.16184
CVE-2023-0413,0.00055,0.20760
CVE-2023-0414,0.00053,0.19051
CVE-2023-0415,0.00055,0.20760
CVE-2023-0416,0.00053,0.19051
CVE-2023-0417,0.00055,0.20760
CVE-2023-0419,0.00045,0.11838
CVE-2023-0428,0.00046,0.13906
CVE-2023-0429,0.00045,0.11838
CVE-2023-0433,0.00050,0.17361
CVE-2023-0434,0.00046,0.12624
CVE-2023-0435,0.00087,0.35727
CVE-2023-0438,0.00048,0.14807
CVE-2023-0440,0.00046,0.13906
CVE-2023-0442,0.00046,0.13906
CVE-2023-0444,0.00050,0.16929
CVE-2023-0446,0.00045,0.11838
CVE-2023-0447,0.00052,0.18252
CVE-2023-0448,0.00046,0.13906
CVE-2023-0451,0.00087,0.35313
CVE-2023-0452,0.00046,0.13906
CVE-2023-0453,0.00045,0.11838
CVE-2023-0454,0.00046,0.12824
CVE-2023-0455,0.00050,0.16929
CVE-2023-0457,0.00200,0.56180
CVE-2023-0460,0.00043,0.06927
CVE-2023-0461,0.00042,0.05636
CVE-2023-0463,0.00043,0.06927
CVE-2023-0468,0.00043,0.06927
CVE-2023-0469,0.00043,0.06927
CVE-2023-0470,0.00045,0.11838
CVE-2023-0471,0.00100,0.39847
CVE-2023-0472,0.00100,0.39847
CVE-2023-0473,0.00062,0.24592
CVE-2023-0474,0.00066,0.26818
CVE-2023-0475,0.00046,0.13906
CVE-2023-0476,0.00046,0.12720
CVE-2023-0477,0.00050,0.16929
CVE-2023-0481,0.00042,0.05636
CVE-2023-0482,0.00042,0.05636
CVE-2023-0483,0.00052,0.18265
CVE-2023-0487,0.00050,0.16929
CVE-2023-0488,0.00045,0.11838
CVE-2023-0492,0.00045,0.11838
CVE-2023-0493,0.00050,0.16929
CVE-2023-0507,0.00045,0.11838
CVE-2023-0509,0.00061,0.23959
CVE-2023-0511,0.00091,0.37652
CVE-2023-0512,0.00053,0.19362
CVE-2023-0513,0.00066,0.26723
CVE-2023-0515,0.00075,0.30225
CVE-2023-0516,0.00075,0.30225
CVE-2023-0518,0.00049,0.15281
CVE-2023-0519,0.00045,0.11838
CVE-2023-0524,0.00050,0.16929
CVE-2023-0527,0.00060,0.23410
CVE-2023-0528,0.00051,0.17606
CVE-2023-0529,0.00051,0.17606
CVE-2023-0530,0.00063,0.25249
CVE-2023-0531,0.00051,0.17606
CVE-2023-0532,0.00051,0.17606
CVE-2023-0533,0.00051,0.17606
CVE-2023-0534,0.00051,0.17606
CVE-2023-0535,0.00045,0.11838
CVE-2023-0538,0.00045,0.11838
CVE-2023-0539,0.00045,0.11838
CVE-2023-0540,0.00045,0.11838
CVE-2023-0541,0.00045,0.11838
CVE-2023-0543,0.00045,0.11838
CVE-2023-0548,0.00045,0.11838
CVE-2023-0549,0.00052,0.18467
CVE-2023-0550,0.00051,0.18021
CVE-2023-0552,0.00045,0.11838
CVE-2023-0553,0.00051,0.18021
CVE-2023-0554,0.00065,0.26486
CVE-2023-0555,0.00052,0.18252
CVE-2023-0556,0.00089,0.36603
CVE-2023-0557,0.00089,0.36241
CVE-2023-0558,0.00107,0.41838
CVE-2023-0559,0.00045,0.11838
CVE-2023-0560,0.00060,0.23486
CVE-2023-0561,0.00061,0.23827
CVE-2023-0562,0.00063,0.25249
CVE-2023-0563,0.00051,0.17664
CVE-2023-0564,0.00047,0.14422
CVE-2023-0565,0.00045,0.12362
CVE-2023-0566,0.00044,0.10225
CVE-2023-0567,0.00045,0.12176
CVE-2023-0568,0.00087,0.35727
CVE-2023-0569,0.00049,0.15258
CVE-2023-0570,0.00063,0.25249
CVE-2023-0571,0.00051,0.17664
CVE-2023-0572,0.00046,0.13906
CVE-2023-0574,0.00091,0.37428
CVE-2023-0575,0.00066,0.26739
CVE-2023-0576,0.00043,0.06927
CVE-2023-0577,0.00046,0.13906
CVE-2023-0578,0.00046,0.13906
CVE-2023-0581,0.00052,0.18409
CVE-2023-0585,0.00060,0.23350
CVE-2023-0586,0.00051,0.18021
CVE-2023-0587,0.00241,0.60322
CVE-2023-0591,0.00046,0.13992
CVE-2023-0592,0.00046,0.13992
CVE-2023-0593,0.00046,0.13992
CVE-2023-0594,0.00045,0.11838
CVE-2023-0595,0.00046,0.13906
CVE-2023-0597,0.00042,0.05636
CVE-2023-0598,0.00042,0.05636
CVE-2023-0599,0.00044,0.10958
CVE-2023-0606,0.00046,0.13906
CVE-2023-0607,0.00045,0.11838
CVE-2023-0608,0.00045,0.11838
CVE-2023-0609,0.00045,0.11838
CVE-2023-0610,0.00045,0.11838
CVE-2023-0611,0.00059,0.22782
CVE-2023-0612,0.00046,0.13906
CVE-2023-0613,0.00046,0.13906
CVE-2023-0615,0.00042,0.05636
CVE-2023-0617,0.00046,0.13906
CVE-2023-0618,0.00046,0.13906
CVE-2023-0619,0.00046,0.12720
CVE-2023-0621,0.00058,0.22459
CVE-2023-0622,0.00058,0.22459
CVE-2023-0623,0.00058,0.22459
CVE-2023-0624,0.00046,0.13906
CVE-2023-0628,0.00053,0.19362
CVE-2023-0629,0.00043,0.06927
CVE-2023-0637,0.00063,0.25275
CVE-2023-0638,0.00107,0.41825
CVE-2023-0639,0.00046,0.13906
CVE-2023-0640,0.00125,0.45257
CVE-2023-0641,0.00067,0.27325
CVE-2023-0642,0.00046,0.13906
CVE-2023-0643,0.00046,0.12624
CVE-2023-0646,0.00065,0.26590
CVE-2023-0647,0.00065,0.26590
CVE-2023-0648,0.00065,0.26590
CVE-2023-0649,0.00065,0.26590
CVE-2023-0650,0.00060,0.23447
CVE-2023-0651,0.00063,0.24796
CVE-2023-0655,0.00065,0.26504
CVE-2023-0656,0.00115,0.43708
CVE-2023-0658,0.00087,0.35313
CVE-2023-0659,0.00087,0.35313
CVE-2023-0661,0.00049,0.15258
CVE-2023-0662,0.00046,0.13906
CVE-2023-0663,0.00062,0.24624
CVE-2023-0669,0.96787,0.99422
CVE-2023-0671,0.00048,0.14945
CVE-2023-0673,0.00076,0.30513
CVE-2023-0674,0.00054,0.19863
CVE-2023-0675,0.00060,0.23486
CVE-2023-0676,0.00046,0.12624
CVE-2023-0677,0.00046,0.12624
CVE-2023-0678,0.00046,0.12624
CVE-2023-0679,0.00063,0.25249
CVE-2023-0684,0.00052,0.18252
CVE-2023-0685,0.00139,0.47700
CVE-2023-0686,0.00076,0.31056
CVE-2023-0687,0.00063,0.24796
CVE-2023-0690,0.00043,0.06927
CVE-2023-0696,0.00062,0.24592
CVE-2023-0697,0.00061,0.23995
CVE-2023-0698,0.00062,0.24592
CVE-2023-0699,0.00065,0.26598
CVE-2023-0700,0.00061,0.23995
CVE-2023-0701,0.00062,0.24592
CVE-2023-0702,0.00062,0.24592
CVE-2023-0703,0.00062,0.24592
CVE-2023-0704,0.00059,0.23005
CVE-2023-0705,0.00062,0.24592
CVE-2023-0706,0.00050,0.16929
CVE-2023-0707,0.00061,0.23959
CVE-2023-0711,0.00052,0.18252
CVE-2023-0712,0.00052,0.18252
CVE-2023-0713,0.00052,0.18252
CVE-2023-0715,0.00052,0.18252
CVE-2023-0716,0.00052,0.18252
CVE-2023-0717,0.00052,0.18252
CVE-2023-0718,0.00052,0.18252
CVE-2023-0719,0.00052,0.18252
CVE-2023-0720,0.00052,0.18252
CVE-2023-0722,0.00069,0.27934
CVE-2023-0723,0.00092,0.37851
CVE-2023-0724,0.00069,0.27934
CVE-2023-0725,0.00069,0.27934
CVE-2023-0726,0.00069,0.27934
CVE-2023-0727,0.00092,0.37851
CVE-2023-0728,0.00092,0.37851
CVE-2023-0730,0.00092,0.37851
CVE-2023-0731,0.00045,0.11838
CVE-2023-0732,0.00046,0.13906
CVE-2023-0734,0.00046,0.13906
CVE-2023-0735,0.00048,0.14807
CVE-2023-0736,0.00045,0.11838
CVE-2023-0739,0.00050,0.17087
CVE-2023-0740,0.00050,0.16929
CVE-2023-0741,0.00050,0.16929
CVE-2023-0742,0.00050,0.16929
CVE-2023-0743,0.00050,0.16929
CVE-2023-0744,0.00170,0.52300
CVE-2023-0745,0.00091,0.37652
CVE-2023-0746,0.00046,0.13906
CVE-2023-0747,0.00045,0.11838
CVE-2023-0748,0.00046,0.13906
CVE-2023-0749,0.00049,0.15258
CVE-2023-0751,0.00048,0.14932
CVE-2023-0754,0.00111,0.42600
CVE-2023-0755,0.00130,0.46174
CVE-2023-0758,0.00063,0.25249
CVE-2023-0759,0.00050,0.16929
CVE-2023-0760,0.00063,0.25429
CVE-2023-0770,0.00059,0.22886
CVE-2023-0771,0.00050,0.16929
CVE-2023-0772,0.00049,0.15258
CVE-2023-0774,0.00055,0.20696
CVE-2023-0776,0.00141,0.48097
CVE-2023-0777,0.00087,0.35727
CVE-2023-0780,0.00046,0.13906
CVE-2023-0781,0.00063,0.25249
CVE-2023-0782,0.00062,0.24058
CVE-2023-0783,0.00063,0.25249
CVE-2023-0784,0.00063,0.25249
CVE-2023-0785,0.00052,0.18464
CVE-2023-0786,0.00062,0.24221
CVE-2023-0787,0.00045,0.11838
CVE-2023-0788,0.00066,0.26739
CVE-2023-0789,0.00097,0.39040
CVE-2023-0790,0.00050,0.16929
CVE-2023-0791,0.00044,0.10225
CVE-2023-0792,0.00045,0.11838
CVE-2023-0793,0.00050,0.16929
CVE-2023-0794,0.00045,0.11838
CVE-2023-0795,0.00042,0.05681
CVE-2023-0796,0.00042,0.05681
CVE-2023-0797,0.00042,0.05681
CVE-2023-0798,0.00042,0.05681
CVE-2023-0799,0.00045,0.12044
CVE-2023-0800,0.00045,0.12044
CVE-2023-0801,0.00045,0.12044
CVE-2023-0802,0.00045,0.12044
CVE-2023-0803,0.00045,0.12044
CVE-2023-0804,0.00042,0.05681
CVE-2023-0808,0.00050,0.17361
CVE-2023-0810,0.00045,0.11838
CVE-2023-0811,0.00043,0.06927
CVE-2023-0814,0.00049,0.15258
CVE-2023-0815,0.00049,0.15258
CVE-2023-0817,0.00053,0.19362
CVE-2023-0818,0.00044,0.10504
CVE-2023-0819,0.00053,0.19362
CVE-2023-0821,0.00044,0.11053
CVE-2023-0822,0.00050,0.16929
CVE-2023-0827,0.00090,0.36841
CVE-2023-0830,0.00204,0.56665
CVE-2023-0839,0.00091,0.37428
CVE-2023-0840,0.00053,0.18961
CVE-2023-0841,0.00063,0.25249
CVE-2023-0844,0.00045,0.11838
CVE-2023-0845,0.00044,0.11053
CVE-2023-0846,0.00046,0.13906
CVE-2023-0847,0.00185,0.54079
